3_dig_zip,2014_accpt_loans,2014_rejected_loans,2014_Total_loans_considered,2014_pct_accepted
278,251,3624.0,3875.0,0.0647741935483871
279,98,1233.0,1331.0,0.07362885048835462
280,506,4209.0,4715.0,0.1073170731707317
281,375,3572.0,3947.0,0.09500886749429947
282,760,6310.0,7070.0,0.1074964639321075
283,524,7109.0,7633.0,0.06864928599502161
284,297,2748.0,3045.0,0.09753694581280788
285,271,4003.0,4274.0,0.06340664482919982
286,303,3317.0,3620.0,0.08370165745856353
287,255,2812.0,3067.0,0.08314313661558526
288,71,690.0,761.0,0.09329829172141918
289,16,187.0,203.0,0.07881773399014778
290,251,3093.0,3344.0,0.07505980861244019
291,180,2716.0,2896.0,0.062154696132596686
292,250,2719.0,2969.0,0.08420343550016841
293,228,2850.0,3078.0,0.07407407407407407
294,560,6223.0,6783.0,0.0825593395252838
295,372,4933.0,5305.0,0.0701225259189444
296,617,6138.0,6755.0,0.09133974833456698
297,243,2712.0,2955.0,0.08223350253807106
298,141,1526.0,1667.0,0.08458308338332333
299,132,1358.0,1490.0,0.08859060402684564
300,2085,16871.0,18956.0,0.10999155940071745
301,1094,9214.0,10308.0,0.10613116026387272
302,797,8337.0,9134.0,0.08725640464199694
303,824,7209.0,8033.0,0.10257687040956057
304,107,1253.0,1360.0,0.07867647058823529
305,446,3695.0,4141.0,0.10770345327215648
306,252,2370.0,2622.0,0.09610983981693363
307,213,2163.0,2376.0,0.08964646464646464
308,180,1437.0,1617.0,0.11131725417439703
309,110,1497.0,1607.0,0.06845052893590542
310,316,3260.0,3576.0,0.0883668903803132
311,9,23.0,32.0,0.28125
312,91,1156.0,1247.0,0.07297514033680834
313,197,2195.0,2392.0,0.08235785953177258
314,146,1845.0,1991.0,0.07332998493219488
315,189,2092.0,2281.0,0.08285839544059623
316,114,1281.0,1395.0,0.08172043010752689
317,172,2100.0,2272.0,0.07570422535211267
318,60,545.0,605.0,0.09917355371900827
319,153,1757.0,1910.0,0.08010471204188482
320,416,3430.0,3846.0,0.10816432657306292
321,335,3354.0,3689.0,0.09081051775548929
322,671,6515.0,7186.0,0.09337600890620651
323,247,2568.0,2815.0,0.08774422735346359
324,179,2143.0,2322.0,0.07708871662360034
325,451,4263.0,4714.0,0.09567246499787865
326,195,1879.0,2074.0,0.0940212150433944
327,804,6567.0,7371.0,0.10907610907610908
328,829,7476.0,8305.0,0.09981938591210114
329,478,4048.0,4526.0,0.10561201944321696
330,1606,12915.0,14521.0,0.11059844363335858
331,1929,15068.0,16997.0,0.11349061599105724
332,16,73.0,89.0,0.1797752808988764
333,877,6305.0,7182.0,0.12211083263714842
334,1230,9041.0,10271.0,0.11975464901178075
335,629,4694.0,5323.0,0.11816644749201578
336,606,4853.0,5459.0,0.11100934237039752
337,638,4559.0,5197.0,0.12276313257648644
338,491,4587.0,5078.0,0.09669161087042143
339,522,4586.0,5108.0,0.10219263899765074
341,223,1718.0,1941.0,0.11488923235445647
342,521,4095.0,4616.0,0.1128682842287695
344,263,2787.0,3050.0,0.08622950819672132
346,547,4292.0,4839.0,0.11303988427361025
347,602,5323.0,5925.0,0.10160337552742615
349,393,3091.0,3484.0,0.11280137772675086
350,336,3427.0,3763.0,0.08929045973956949
351,236,2396.0,2632.0,0.08966565349544073
352,322,4116.0,4438.0,0.07255520504731862
353,1,7.0,8.0,0.125
354,123,1632.0,1755.0,0.07008547008547009
355,77,989.0,1066.0,0.07223264540337711
356,158,2215.0,2373.0,0.06658238516645597
357,184,1594.0,1778.0,0.10348706411698538
358,130,1411.0,1541.0,0.08436080467229072
359,114,1731.0,1845.0,0.061788617886178863
360,209,2203.0,2412.0,0.08665008291873963
361,156,1900.0,2056.0,0.07587548638132295
362,108,1404.0,1512.0,0.07142857142857142
363,152,1922.0,2074.0,0.07328833172613308
364,50,729.0,779.0,0.06418485237483953
365,261,2570.0,2831.0,0.0921935711762628
366,153,2368.0,2521.0,0.06069020230067434
367,48,824.0,872.0,0.05504587155963303
368,200,2249.0,2449.0,0.08166598611678236
369,8,125.0,133.0,0.06015037593984962
370,706,6659.0,7365.0,0.09585879158180584
371,435,4441.0,4876.0,0.08921246923707957
372,313,2610.0,2923.0,0.10708176530961341
373,271,3313.0,3584.0,0.07561383928571429
374,135,1311.0,1446.0,0.09336099585062241
376,193,2368.0,2561.0,0.07536118703631393
377,168,2054.0,2222.0,0.07560756075607561
378,272,3144.0,3416.0,0.07962529274004684
379,258,2228.0,2486.0,0.10378117457763475
380,345,2846.0,3191.0,0.1081165778752742
381,422,5409.0,5831.0,0.07237180586520323
382,49,622.0,671.0,0.07302533532041729
383,146,1837.0,1983.0,0.07362581946545638
384,83,1011.0,1094.0,0.07586837294332724
385,105,1373.0,1478.0,0.07104194857916103
386,214,2023.0,2237.0,0.09566383549396514
387,22,611.0,633.0,0.03475513428120063
388,92,1083.0,1175.0,0.07829787234042553
389,37,543.0,580.0,0.06379310344827586
390,118,1360.0,1478.0,0.07983761840324763
391,111,1334.0,1445.0,0.07681660899653979
392,90,1472.0,1562.0,0.05761843790012804
393,72,849.0,921.0,0.0781758957654723
394,139,1661.0,1800.0,0.07722222222222222
395,206,2009.0,2215.0,0.09300225733634311
396,44,517.0,561.0,0.0784313725490196
397,55,770.0,825.0,0.06666666666666667
398,46,717.0,763.0,0.06028833551769332
400,149,1348.0,1497.0,0.09953239812959253
401,90,1133.0,1223.0,0.07358953393295176
402,460,4208.0,4668.0,0.09854327335047129
403,166,1893.0,2059.0,0.08062166100048568
404,95,1005.0,1100.0,0.08636363636363636
405,222,1749.0,1971.0,0.1126331811263318
406,30,327.0,357.0,0.08403361344537816
407,37,602.0,639.0,0.057902973395931145
408,18,185.0,203.0,0.08866995073891626
409,17,351.0,368.0,0.04619565217391304
410,420,3192.0,3612.0,0.11627906976744186
411,64,693.0,757.0,0.0845442536327609
412,22,337.0,359.0,0.06128133704735376
413,18,215.0,233.0,0.07725321888412018
414,5,127.0,132.0,0.03787878787878788
415,27,480.0,507.0,0.05325443786982249
416,18,236.0,254.0,0.07086614173228346
417,16,243.0,259.0,0.06177606177606178
418,11,194.0,205.0,0.05365853658536585
420,88,1079.0,1167.0,0.07540702656383891
421,101,1287.0,1388.0,0.07276657060518732
422,54,1144.0,1198.0,0.045075125208681135
423,80,842.0,922.0,0.08676789587852494
424,53,730.0,783.0,0.06768837803320563
425,28,386.0,414.0,0.06763285024154589
426,12,246.0,258.0,0.046511627906976744
427,80,979.0,1059.0,0.07554296506137866
429,1,1.0,2.0,0.5
430,743,4828.0,5571.0,0.13336923353078442
431,361,3050.0,3411.0,0.10583406625622985
432,542,5708.0,6250.0,0.08672
433,135,1124.0,1259.0,0.10722795869737888
434,123,958.0,1081.0,0.11378353376503238
435,210,1707.0,1917.0,0.10954616588419405
436,185,2195.0,2380.0,0.07773109243697479
437,121,1130.0,1251.0,0.09672262190247802
438,23,369.0,392.0,0.058673469387755105
439,90,1272.0,1362.0,0.06607929515418502
440,637,5018.0,5655.0,0.11264367816091954
441,810,8254.0,9064.0,0.08936451897616945
442,431,3046.0,3477.0,0.12395743457003164
443,154,1792.0,1946.0,0.07913669064748201
444,201,2368.0,2569.0,0.07824056052938887
445,106,1210.0,1316.0,0.08054711246200608
446,298,2400.0,2698.0,0.11045218680504076
447,121,1340.0,1461.0,0.08281998631074607
448,237,2118.0,2355.0,0.10063694267515924
449,72,632.0,704.0,0.10227272727272728
450,508,3394.0,3902.0,0.1301896463352127
451,236,2067.0,2303.0,0.10247503256621798
452,559,4637.0,5196.0,0.10758275596612779
453,307,2880.0,3187.0,0.0963288358958268
454,275,2935.0,3210.0,0.08566978193146417
455,63,681.0,744.0,0.0846774193548387
456,169,2132.0,2301.0,0.07344632768361582
457,69,744.0,813.0,0.08487084870848709
458,227,2037.0,2264.0,0.10026501766784453
460,414,2850.0,3264.0,0.12683823529411764
461,436,3296.0,3732.0,0.11682743837084673
462,697,6060.0,6757.0,0.10315228651768536
463,571,4234.0,4805.0,0.11883454734651405
464,73,955.0,1028.0,0.07101167315175097
465,289,2523.0,2812.0,0.10277382645803698
466,76,852.0,928.0,0.08189655172413793
467,162,1682.0,1844.0,0.0878524945770065
468,171,1737.0,1908.0,0.08962264150943396
469,160,1626.0,1786.0,0.08958566629339305
470,89,564.0,653.0,0.1362940275650842
471,188,1555.0,1743.0,0.1078600114744693
472,108,1108.0,1216.0,0.08881578947368421
473,147,1712.0,1859.0,0.07907477138246369
474,117,1191.0,1308.0,0.08944954128440367
475,81,738.0,819.0,0.0989010989010989
476,80,551.0,631.0,0.12678288431061807
477,78,888.0,966.0,0.08074534161490683
478,99,1048.0,1147.0,0.08631211857018309
479,171,1614.0,1785.0,0.0957983193277311
480,997,7524.0,8521.0,0.1170050463560615
481,1235,9535.0,10770.0,0.11467038068709377
482,381,5507.0,5888.0,0.06470788043478261
483,832,5112.0,5944.0,0.13997308209959622
484,260,2230.0,2490.0,0.10441767068273092
485,67,997.0,1064.0,0.06296992481203008
486,172,1867.0,2039.0,0.08435507601765571
487,107,896.0,1003.0,0.10667996011964108
488,372,2794.0,3166.0,0.11749842072015161
489,105,975.0,1080.0,0.09722222222222222
490,365,3553.0,3918.0,0.09315977539561
491,65,541.0,606.0,0.10726072607260725
492,220,1844.0,2064.0,0.1065891472868217
493,168,1349.0,1517.0,0.11074489123269611
494,266,2505.0,2771.0,0.09599422591122339
495,214,1941.0,2155.0,0.09930394431554525
496,139,1216.0,1355.0,0.1025830258302583
497,118,1006.0,1124.0,0.10498220640569395
498,82,714.0,796.0,0.10301507537688442
499,35,349.0,384.0,0.09114583333333333
500,1,45.0,46.0,0.021739130434782608
510,1,21.0,22.0,0.045454545454545456
511,1,23.0,24.0,0.041666666666666664
513,1,7.0,8.0,0.125
516,1,5.0,6.0,0.16666666666666666
523,1,37.0,38.0,0.02631578947368421
524,1,41.0,42.0,0.023809523809523808
527,1,51.0,52.0,0.019230769230769232
530,419,2691.0,3110.0,0.1347266881028939
531,438,3437.0,3875.0,0.11303225806451613
532,448,5064.0,5512.0,0.08127721335268505
534,57,693.0,750.0,0.076
535,318,2648.0,2966.0,0.10721510451786918
537,139,1256.0,1395.0,0.0996415770609319
538,19,241.0,260.0,0.07307692307692308
539,123,1180.0,1303.0,0.09439754412893323
540,110,687.0,797.0,0.13801756587202008
541,104,1134.0,1238.0,0.0840064620355412
542,40,511.0,551.0,0.07259528130671507
543,95,833.0,928.0,0.10237068965517242
544,182,1536.0,1718.0,0.10593713620488941
545,41,452.0,493.0,0.08316430020283976
546,115,1108.0,1223.0,0.09403107113654947
547,134,1151.0,1285.0,0.10428015564202335
548,98,868.0,966.0,0.10144927536231885
549,223,2181.0,2404.0,0.09276206322795341
550,563,3150.0,3713.0,0.15162941018044707
551,653,3664.0,4317.0,0.15126245077600187
553,909,4592.0,5501.0,0.16524268314851845
554,909,5204.0,6113.0,0.14869949288401768
556,12,66.0,78.0,0.15384615384615385
557,98,787.0,885.0,0.11073446327683616
558,79,539.0,618.0,0.127831715210356
559,235,1512.0,1747.0,0.1345163136805953
560,193,1217.0,1410.0,0.13687943262411348
561,54,395.0,449.0,0.12026726057906459
562,98,593.0,691.0,0.14182344428364688
563,200,1182.0,1382.0,0.1447178002894356
564,81,560.0,641.0,0.12636505460218408
565,94,759.0,853.0,0.11019929660023446
566,51,297.0,348.0,0.14655172413793102
567,43,349.0,392.0,0.1096938775510204
570,116,773.0,889.0,0.13048368953880765
571,128,960.0,1088.0,0.11764705882352941
572,39,297.0,336.0,0.11607142857142858
573,30,357.0,387.0,0.07751937984496124
574,38,270.0,308.0,0.12337662337662338
575,32,229.0,261.0,0.12260536398467432
576,9,57.0,66.0,0.13636363636363635
577,113,1145.0,1258.0,0.08982511923688394
582,1,18.0,19.0,0.05263157894736842
587,1,41.0,42.0,0.023809523809523808
590,44,392.0,436.0,0.10091743119266056
591,111,622.0,733.0,0.15143246930422918
592,30,170.0,200.0,0.15
593,31,201.0,232.0,0.1336206896551724
594,81,639.0,720.0,0.1125
595,21,94.0,115.0,0.1826086956521739
596,67,421.0,488.0,0.13729508196721313
597,126,843.0,969.0,0.13003095975232198
598,116,827.0,943.0,0.12301166489925769
599,101,515.0,616.0,0.16396103896103897
600,1250,7661.0,8911.0,0.14027606329255976
601,1242,7784.0,9026.0,0.13760248171947706
602,59,354.0,413.0,0.14285714285714285
603,61,347.0,408.0,0.14950980392156862
604,1272,9296.0,10568.0,0.12036336109008328
605,887,5225.0,6112.0,0.14512434554973822
606,2273,16127.0,18400.0,0.12353260869565218
607,100,868.0,968.0,0.10330578512396695
608,76,886.0,962.0,0.079002079002079
609,110,926.0,1036.0,0.10617760617760617
610,194,1623.0,1817.0,0.10676940011007155
611,155,1264.0,1419.0,0.10923185341789993
612,110,1141.0,1251.0,0.08792965627498002
613,97,804.0,901.0,0.1076581576026637
614,71,756.0,827.0,0.08585247883917775
615,107,891.0,998.0,0.10721442885771543
616,91,919.0,1010.0,0.0900990099009901
617,132,1140.0,1272.0,0.10377358490566038
618,153,1391.0,1544.0,0.09909326424870467
619,44,494.0,538.0,0.08178438661710037
620,179,1581.0,1760.0,0.10170454545454545
622,340,2688.0,3028.0,0.11228533685601057
623,51,468.0,519.0,0.09826589595375723
624,61,655.0,716.0,0.08519553072625698
625,97,857.0,954.0,0.10167714884696016
626,119,766.0,885.0,0.1344632768361582
627,92,755.0,847.0,0.10861865407319952
628,102,1085.0,1187.0,0.08593091828138164
629,96,1166.0,1262.0,0.07606973058637084
630,500,4269.0,4769.0,0.10484378276368211
631,549,5485.0,6034.0,0.09098442161087172
633,405,2924.0,3329.0,0.12165815560228296
634,37,377.0,414.0,0.0893719806763285
635,21,290.0,311.0,0.06752411575562701
636,52,946.0,998.0,0.052104208416833664
637,71,739.0,810.0,0.08765432098765433
638,37,832.0,869.0,0.04257767548906789
639,26,497.0,523.0,0.0497131931166348
640,508,3822.0,4330.0,0.11732101616628175
641,410,3754.0,4164.0,0.09846301633045149
644,45,499.0,544.0,0.08272058823529412
645,63,592.0,655.0,0.09618320610687023
646,28,330.0,358.0,0.0782122905027933
647,60,580.0,640.0,0.09375
648,137,1286.0,1423.0,0.09627547434996486
650,92,733.0,825.0,0.11151515151515151
651,45,363.0,408.0,0.11029411764705882
652,132,1479.0,1611.0,0.08193668528864059
653,54,638.0,692.0,0.07803468208092486
654,42,560.0,602.0,0.06976744186046512
655,63,843.0,906.0,0.0695364238410596
656,97,1089.0,1186.0,0.081787521079258
657,160,1551.0,1711.0,0.09351256575102279
658,156,1324.0,1480.0,0.10540540540540541
660,424,2868.0,3292.0,0.12879708383961117
661,89,1007.0,1096.0,0.0812043795620438
662,339,2082.0,2421.0,0.14002478314745972
663,1,,,
664,59,889.0,948.0,0.06223628691983123
665,97,726.0,823.0,0.11786148238153099
666,121,1017.0,1138.0,0.1063268892794376
667,88,681.0,769.0,0.11443433029908973
668,33,339.0,372.0,0.08870967741935484
669,13,125.0,138.0,0.09420289855072464
