zip_3,Asian,Bachelors_Degree_pct,Black,Families,Family_Households,Family_Poverty_pct,Female_0to9_Years,Female_10to19_Years,Female_20to29_Years,Female_30to39_Years,Female_40to49_Years,Female_50to59_Years,Female_60to69_Years,Female_70p_Years,From_100000_to_149999,From_150000_to_199999,From_200000_or_more,From_25000_to_49999,From_50000_to_74999,From_75000_to_99999,Graduate_Degree_pct,High_School_pct,Hispanic,Householder_living_with_unrelated,Households,Households.1,Househoulder_living_alone,Housing_Units,Islander,Less_than_24999,Male_0to9_Years,Male_10to19_Years,Male_20to29_Years,Male_30to39_Years,Male_40to49_Years,Male_50to59_Years,Male_60to69_Years,Male_70p_Years,Married_couple_child_under_18,Married_couple_families,Married_couple_no_child_under_18,Median_household_inc,Native,No_Diploma_pct,Non_families,Other,Population_25_Years_and_Over,Single_parent_child_under_18,Single_parent_families,Single_parent_no_child_under_18,Some_College_pct,Two,Unemployment_Rate_pct,White,labor_over_16_years,nonwhite_pct
020,0.039257445419882915,0.3105833333333335,0.030375448393634406,0.2610791871745926,0.2610791871745926,0.031041666666666665,0.056390866755323066,0.06972122306571206,0.04542331794114327,0.05479603303514032,0.07697403610703543,0.08469548490305864,0.05903829073082642,0.06492690754380885,0.07439776625135561,0.04475348777866652,0.06341058871446588,0.048190967843245024,0.04709912014250453,0.044785384453070176,0.21375,0.19479166666666667,0.033685341760598286,0.01598268746656983,0.36533960143878536,0.36533960143878536,0.08827772679762297,0.38736302831933966,5.888616812982437e-05,0.04270228625547764,0.05952410161789747,0.07296977667420737,0.0478621867378535,0.05368455661168989,0.0731096313235157,0.08086543038428132,0.05492607332309368,0.045092083245413014,0.09880362935082906,0.21735375374785923,0.11855012439703018,6.224263064141758,0.0007900560890751437,0.04866666666666666,0.10426041426419279,0.003913476590294578,0.6955928610335504,0.020570901400018646,0.04372543342673334,0.02315453202671469,0.2322916666666667,0.01474607793584352,0.05875,0.8771732676425413,0.5492386509178881,0.12282673235745867
021,0.10519213251914578,0.2576595744680851,0.1537120130150055,0.20851448256731478,0.20851448256731478,0.12010638297872335,0.05058833672578148,0.052230956370492826,0.10591185632513522,0.08266252825478222,0.0630020729545037,0.062379811747242,0.048434413293898464,0.05098868309286311,0.06375628352619682,0.03060925369889305,0.03227661384943528,0.06868639159722456,0.06086614261777043,0.04655338513845312,0.21621276595744685,0.21942553191489356,0.1552586694855849,0.05285396729005244,0.3932840772353609,0.3932840772353609,0.1319156273779937,0.42076028324130615,0.00013794706281464487,0.09053600680738766,0.051273573766067275,0.0528749592343938,0.10587961869632528,0.08156944772443575,0.06132796539328033,0.05678395915567401,0.04092754405496891,0.0331642732101556,0.05545471925148724,0.1338558828049736,0.07840116355348635,2.407994182232568,0.0014814315006616212,0.11755319148936165,0.18476959466804613,0.007799257035112775,0.7002125434364562,0.03483463220988946,0.0746585997623412,0.039823967552451746,0.18906382978723404,0.024284680753760744,0.0712340425531915,0.552133868627914,0.590858757951636,0.447866131372086
022,0.20604907279941695,0.32799999999999996,0.03826220746619159,0.05372904688638756,0.05372904688638756,0.222,0.007611952384808486,0.16936594056198884,0.2919264717790914,0.052838286500931246,0.01668151267309094,0.020689934407644342,0.009069560288282453,0.00870515831241396,0.029111668961049476,0.015993197829783787,0.013766296866143007,0.042351607417604666,0.05170459146489594,0.026358409587820875,0.45399999999999996,0.062,0.10672928982103815,0.07138229816179448,0.30634059438011174,0.30634059438011174,0.18122924933192971,0.346627257267795,0.0,0.127054822252814,0.007571463276378654,0.11620374119361891,0.18580451858450078,0.06304154182524901,0.019191837395740544,0.01465705725159932,0.009636407806300104,0.007004615758361001,0.005223094987448377,0.04109644505627986,0.03587335006883149,1.6242205846627258,0.0010527168191756418,0.042,0.25261154749372416,0.0020244554214916186,0.35683051259211274,0.005749453397036197,0.012632601830107702,0.0068831484330715035,0.114,0.02984047291278646,0.09300000000000001,0.6160417847598996,0.5415823143574379,0.38395821524010043
023,0.022260878054408576,0.21949999999999997,0.13045677733131278,0.25260427644935335,0.25260427644935335,0.04529166666666666,0.05536930248657092,0.0650653093736202,0.059092391629927604,0.05833801123139287,0.07497653655083969,0.07868853186480616,0.061331126400873306,0.06035708818041229,0.06900583757302513,0.03186369677458004,0.025478088577571383,0.06424658476462222,0.059236611412000414,0.04994663868063306,0.111875,0.3049583333333333,0.04484125839525539,0.017803377405419558,0.35370678121415305,0.35370678121415305,0.08329912735938017,0.381312666268768,0.00011537582565825237,0.053929323431720806,0.05895482814548891,0.06824036334510018,0.0632769840759173,0.05475692310423096,0.0694495907486338,0.07481900417349861,0.056387716024592804,0.04089629266409438,0.07435971963674365,0.18626095792998018,0.11190123829323653,4.357846998342582,0.0009629443910707985,0.07004166666666667,0.10110250476479972,0.017224279511250253,0.6859203773677005,0.031297911475679,0.06634331851937315,0.03504540704369415,0.2937083333333334,0.020048768473999393,0.06833333333333332,0.7640897180170445,0.5552971925955346,0.2359102819829555
024,0.13300084313417265,0.29312000000000005,0.02951445951288757,0.23998599539848808,0.23998599539848808,0.03504,0.057404575789187874,0.06848917025117776,0.07681095216999871,0.06649565809718432,0.06960382220824937,0.0693632669781976,0.05782614287551624,0.06377571678313351,0.06834864788906832,0.04502431751384979,0.08928886157832812,0.042516350610438666,0.044374103872224686,0.04063716173409358,0.4381199999999999,0.10932,0.06285160362214251,0.031403175329036685,0.3745706922750809,0.3745706922750809,0.1031815215475561,0.39686849488641507,0.00015243103686449357,0.04438124907707771,0.057385521909579816,0.06661236310978369,0.06092954351667929,0.06215613701644826,0.06667190648355889,0.06403294415784234,0.04899466967717964,0.043447608976282685,0.0955242436800663,0.2017615311697653,0.106237287489699,7.428945701206587,0.0009122044862359537,0.03544,0.13458469687659277,0.0035059138478833523,0.6772415698491409,0.01780823222868466,0.03822446422872277,0.020416232000038108,0.12408,0.025906131062110885,0.047720000000000005,0.7441564132977025,0.5517003205815244,0.25584358670229745
025,0.011070707070707071,0.22552941176470587,0.02904601571268238,0.25539842873176205,0.25539842873176205,0.054882352941176465,0.04567452300785634,0.05096296296296296,0.04838608305274972,0.051043771043771044,0.06208754208754209,0.0854320987654321,0.07930864197530864,0.08632996632996633,0.07514253647586981,0.030473625140291807,0.027618406285072953,0.07970370370370371,0.06848035914702581,0.057427609427609425,0.18070588235294116,0.25794117647058823,0.031173961840628508,0.022662177328843996,0.4010594837261504,0.4010594837261504,0.12299887766554433,0.6927407407407408,0.0,0.06221324354657688,0.05093602693602694,0.059393939393939395,0.05477890011223344,0.051465768799102134,0.06111784511784512,0.07802469135802469,0.07040179573512907,0.06465544332210998,0.06268013468013468,0.2005746352413019,0.13789450056116723,10.97362962962963,0.004731762065095398,0.058,0.14566105499438833,0.01541638608305275,0.7395824915824916,0.027016835016835015,0.054823793490460154,0.02780695847362514,0.277470588235294,0.03254769921436588,0.06105882352941176,0.876013468013468,0.5371672278338945,0.12398653198653198
026,0.013740078337098212,0.2528888888888889,0.026823893505757847,0.2730262021705041,0.2730262021705041,0.057,0.03863663053765223,0.04718877582740969,0.04595223785740438,0.0410958904109589,0.05922947795991959,0.08210888442169399,0.09562099765817669,0.1177128883178248,0.07026851525639166,0.02577387243625612,0.025559723402344588,0.09475058545582658,0.08483755759572807,0.06195815113395368,0.1924814814814815,0.23129629629629625,0.02714166303994916,0.025614987669160465,0.44882874294517094,0.44882874294517094,0.15018755310550638,0.7955636609813552,0.0010500210695017235,0.08568033766467024,0.037821482602118005,0.04925427779965322,0.04692627056003426,0.04330646108359411,0.052922443509557264,0.0742130023003751,0.08106577138554424,0.0869445077680835,0.050546080036474414,0.21749943008724845,0.16695335005077405,11.999910195566423,0.0041724521445989544,0.040629629629629634,0.17580254077466687,0.0055126106148840484,0.7754474678603749,0.024710035300050427,0.05552677208325562,0.03081673678320519,0.28270370370370373,0.015888476709565554,0.06592592592592593,0.9056708045786445,0.5120441561491859,0.09432919542135554
027,0.021116965866376226,0.17396875000000006,0.032712417246502486,0.2523087490536358,0.2523087490536358,0.08250000000000002,0.05678943942984761,0.05896394233962092,0.06448558585396676,0.06073238624181004,0.07317600760506777,0.07691971985723421,0.05900758419557623,0.06658988229981196,0.06018211936237351,0.023540037607895,0.017312534510271965,0.0796463871184421,0.06474364204570252,0.05011223546868507,0.1036875,0.300625,0.0713658193189214,0.0240959969033257,0.38730629182739834,0.38730629182739834,0.11090154587043681,0.4239047317259216,0.00046108569552784823,0.0917693357140282,0.056203120582448,0.06327879366320252,0.06474933446169669,0.059440207811133225,0.06851961132183591,0.07163526034264549,0.05482745338385669,0.04468167061024597,0.06630905644409953,0.17898663610471768,0.11267757966061816,4.234616720143753,0.0005369845754501278,0.15275,0.13499754277376252,0.014616226801032984,0.6962716572710178,0.03906135855200117,0.07332211294891816,0.03426075439691699,0.268875,0.022509710312950057,0.07609374999999999,0.8366807901832388,0.5311441566401084,0.16331920981676118
028,0.02085503043920509,0.2198297872340425,0.037735505321167775,0.2561432540345231,0.2561432540345231,0.06731914893617019,0.04945270157433694,0.061189633970456514,0.06309948534211844,0.05682339188389075,0.0691812537005268,0.08163779623191486,0.06385249510391838,0.06779820552915636,0.06536458728688761,0.027528883086125493,0.025418633955274862,0.07957916470570374,0.06702545962440602,0.05301887078899027,0.1530638297872341,0.26336170212765964,0.0828553644354704,0.026277915256038502,0.4002398700450895,0.4002398700450895,0.11781870075452792,0.45450970866416673,0.00038713203479633817,0.0823042705977015,0.05289893576644552,0.06532207867130213,0.06495923727398321,0.056040018825244044,0.06475580318510984,0.07704838391352534,0.05791950690005921,0.04802107212801166,0.06828553644354704,0.19015318283259197,0.12186764638904492,5.227878060999863,0.002602134539768328,0.09559574468085107,0.14409661601056642,0.007165738055838103,0.7040519819642017,0.03485402845040914,0.06599007120193111,0.031136042751521962,0.2681702127659575,0.02010353884224749,0.064468085106383,0.8282955563315064,0.5427909942461553,0.17170444366849358
029,0.05160648055727749,0.18293750000000003,0.08461603118400454,0.22149258749487796,0.22149258749487796,0.12131249999999999,0.05395736364878069,0.06993023524591026,0.08662544522311062,0.0675294451390567,0.06270159807516522,0.06813095600827931,0.05031940489824222,0.06079987812181514,0.04578049318637906,0.01792449856582998,0.014417874066213476,0.08691175389012051,0.06162203053258666,0.04346375700011557,0.13012500000000002,0.2775,0.24516164619603475,0.02943463231663112,0.37259789655063724,0.37259789655063724,0.12167067673912815,0.4142965212183616,0.0006461645145360748,0.10247748930939198,0.0575112684787291,0.06442733013227986,0.08787574729188774,0.06557781817035628,0.061784885003729896,0.061456549376424974,0.043902413398194944,0.037469661788037026,0.056526261596814356,0.13811372495455834,0.08158746335774399,2.26110825094298,0.005571198924109817,0.15881250000000002,0.15110530905575928,0.006030868802336699,0.6613703941078202,0.04331140926904609,0.08337886254031962,0.04006745327127352,0.2505625,0.025108482091261545,0.084,0.5812591277304391,0.5213917227901699,0.4187408722695609
030,0.0294403333872964,0.24067647058823524,0.010355686227407318,0.27113828992788097,0.27113828992788097,0.03573529411764705,0.05546010475797565,0.06284695204424275,0.055358271232290104,0.06064578121980897,0.07511397521528652,0.0862138295150113,0.05910000052222321,0.04854586947553123,0.07944059449890072,0.03826590561337727,0.032746006298011894,0.0653980124184679,0.06356239784008481,0.05596143903827374,0.13623529411764707,0.2697941176470588,0.04756931207536726,0.026014549138592816,0.3777318801602181,0.3777318801602181,0.0805790410937443,0.39768341784645594,0.00019061147115500106,0.042357524453101744,0.059337612082156155,0.06671923713633682,0.05896422248797581,0.0570711633566419,0.07421314018037589,0.08751416530453446,0.055588049444093394,0.03730762602551583,0.0868248306691246,0.2177148556836163,0.1308900250144917,7.790698160207636,0.0008198904375708266,0.062264705882352944,0.10659359023233711,0.002141115155439738,0.6989069868243084,0.028850221161528862,0.053423434244264684,0.02457321308273582,0.29091176470588237,0.015183639791319606,0.047882352941176466,0.8942994114544438,0.5835870467755327,0.1057005885455562
031,0.04105876477442983,0.2222857142857143,0.03535208922923256,0.24285000832362244,0.24285000832362244,0.083,0.05390377892458798,0.06084900948892958,0.07440652571999334,0.06629598801398369,0.06788080572665224,0.06929249209255868,0.05498252039287498,0.055075744964208424,0.06182120858997836,0.024458132179124355,0.021688030630930583,0.08439487264857666,0.07410021641418345,0.05413684035292159,0.12514285714285717,0.2754285714285714,0.07352755119027801,0.040359580489428996,0.39276843682370566,0.39276843682370566,0.10955884801065424,0.4201231896121192,0.0,0.07216913600799067,0.05755951390044948,0.06223406026302647,0.0810188113867155,0.06953887131679708,0.07000499417346429,0.06996504078574996,0.05175961378391876,0.03523222906608956,0.07135009155984684,0.17850507740968868,0.10715498584984186,3.2119327451306807,0.0008723156317629432,0.09457142857142856,0.14991842850008325,0.0010321291826202764,0.6846545696687198,0.03433993674046945,0.06434493091393374,0.03000499417346429,0.28214285714285714,0.01823206259364075,0.052714285714285714,0.8299250873980356,0.562430497752622,0.1700749126019644
032,0.008506363393154507,0.20668750000000002,0.005252324508481794,0.26468548840612155,0.26468548840612155,0.052375,0.04790425700355433,0.06291869816605426,0.0580813182133361,0.05039392433813614,0.06663681977756788,0.09153349312338595,0.06794171120950879,0.06209972864809972,0.062263522551690625,0.02312769918703626,0.01963342924376355,0.08341477530206326,0.07714692859131783,0.05840344622373155,0.1267083333333333,0.3073333333333332,0.015352948563254476,0.031175439650136222,0.39214444438378004,0.39214444438378004,0.09628351632752229,0.5688070890001474,0.00021839187145454445,0.06815464328417696,0.049815185878781594,0.06582876985318606,0.057109474385363374,0.05054679864815432,0.06599256375677698,0.08186419301473599,0.0702785042340724,0.05105455974928613,0.06800722877094514,0.21336339861430356,0.14535616984335842,17.132995189919033,0.0009336252504681775,0.06706250000000001,0.12745895597765852,0.0012066150897863581,0.7092221427518468,0.02760473255185442,0.051322089791817946,0.02371735723996353,0.29200000000000004,0.015778812712590837,0.048541666666666664,0.9527509186108093,0.5432770792271112,0.047249081389190706
033,0.027290290111531407,0.207,0.01660795168595873,0.2453203889799828,0.2453203889799828,0.053,0.05201552023637515,0.0577300842573502,0.058866503238794096,0.06419143789470266,0.06909427407178921,0.08008506907803951,0.05750280046106142,0.06808773154536747,0.05833076286182769,0.027079240872120394,0.021364676851145348,0.08643278081724759,0.06683767066577918,0.05605792489893988,0.13925,0.28775,0.016883939152880823,0.026900660746464924,0.3882656622887478,0.3882656622887478,0.11604461256230011,0.418185950614478,0.00021104923941101027,0.07216260532168775,0.05438576554052957,0.059304836274493886,0.07333149341688719,0.0653603259899021,0.06719483091709012,0.07743883630696301,0.05329805022971898,0.042112440540935436,0.07123723557965485,0.1871682062438106,0.11593097066415572,4.717957043362501,0.00047080214945533064,0.066,0.14294527330876503,0.002110492394110103,0.7115930970664156,0.03151127489975161,0.05815218273617222,0.026640907836420605,0.2995,0.02203029368313392,0.050499999999999996,0.9143951815835186,0.5316167995194571,0.08560481841648138
034,0.013020471565866411,0.198,0.0072237727795107535,0.2505967189927131,0.2505967189927131,0.04380952380952381,0.04660091181187881,0.07544548703635881,0.06435724839927762,0.04920248033037394,0.061073715317681826,0.08100223532829016,0.0700402864251165,0.06652943182248715,0.05722187843350214,0.01755427301314676,0.017933142214869354,0.08966571107434676,0.07957516133513506,0.05794172991677506,0.1279047619047619,0.3283333333333333,0.015142139095512926,0.03364358511296617,0.4029273960319766,0.4029273960319766,0.11868709192629731,0.4642158038973012,6.314486695376533e-05,0.0830355000442014,0.047156586641071946,0.06559488779157142,0.07057070330752813,0.05021279820163419,0.059785560031825016,0.07741560688531629,0.06149047143957668,0.05352158923001149,0.059368803909930164,0.1925792152355935,0.13321041132566333,16.490433552656505,0.0017933142214869354,0.07042857142857145,0.15233067703926348,0.0007198514832729247,0.6901607668312643,0.03339100564515111,0.05801750375711958,0.02462649811196848,0.2753333333333334,0.015306315749592715,0.046428571428571444,0.9467309902378036,0.5498149855398254,0.053269009762196395
